UNF 164,Captain Rex Nebula,,0,0.0,0,0,0,0.50
UNF 132,Centaur of Attention,,0,0.0,0,0,0,0.50
UNF 130,Atomwheel Acrobats,,0,0.0,0,0,0,0.25
UNF 80,Line Cutter,,0,0.0,0,0,0,0.25
UNF 204,Clown Extruder,,0,0.0,0,0,0,0.25
UNF 219,Kiddie Coaster,,0,0.0,0,0,0,0.25
UNF 93,Soul Swindler,,0,0.0,0,0,0,0.25
UNF 227,Spinny Ride,,0,0.0,0,0,0,0.25
UNF 178,Space Beleren,,0,0.0,0,0,0,1.00
UNF 203,Centrifuge,,0,0.0,0,0,0,0.50
UNF 200,Balloon Stand,,0,0.0,0,0,0,0.50
UNF 7,Complaints Clerk,,0,0.0,0,0,0,0.50
UNF 150,Petting Zookeeper,,0,0.0,0,0,0,0.25
UNF 156,Squirrel Squatters,,0,0.0,0,0,0,0.50
UNF 232,Trash Bin,,0,0.0,0,0,0,0.50
UNF 135,Coming Attraction,,0,0.0,0,0,0,0.25
UNF 74,Exit Through the Grift Shop,,0,0.0,0,0,0,1.00
UNF 9,Teddy Bear Token,,0,0.0,0,0,0,0.50
UNF 223,Pick-a-Beeble,,0,0.0,0,0,0,0.25
UNF 194,Ticket Turbotubes,,0,0.0,0,0,0,0.25
UNF 224,Push Your Luck,,0,0.0,0,0,0,0.50
UNF 155,Spelling Bee,,0,0.0,0,0,0,0.50
UNF 174,The Most Dangerous Gamer,,0,0.0,0,0,0,0.50
UNF 202,Bumper Cars,,0,0.0,0,0,0,0.50
UNF 188,Draconian Gate-Bot,,0,0.0,0,0,0,0.25
UNF 121,Rad Rascal,,0,0.0,0,0,0,0.25
UNF 169,It Came from Planet Glurg,,0,0.0,0,0,0,1.00
UNF 209,Drop Tower,,0,0.0,0,0,0,0.25
UNF 168,Grand Marshal Macie,,0,0.0,0,0,0,1.00
UNF 118,Opening Ceremony,,0,0.0,0,0,0,1.00
UNF 1,Standard Procedure,,0,0.0,0,0,0,1.00
UNF 208,Dart Throw,,0,0.0,0,0,0,0.25
UNF 72,Dissatisfied Customer,,0,0.0,0,0,0,0.25
UNF 58,Seasoned Buttoneer,,0,0.0,0,0,0,0.25
UNF 206,Costume Shop,,0,0.0,0,0,0,0.25
UNF 13,Hat Trick,,0,0.0,0,0,0,0.25
UNF 213,Gallery of Legends,,0,0.0,0,0,0,0.50
UNF 220,Log Flume,,0,0.0,0,0,0,0.50
UNF 116,Omniclown Colossus,,0,0.0,0,0,0,0.50
UNF 190,Park Map,,0,0.0,0,0,0,0.25
UNF 86,Rat in the Hat,,0,0.0,0,0,0,0.25
UNF 125,Trigger Happy,,0,0.0,0,0,0,0.50
UNF 145,Killer Cosplay,,0,0.0,0,0,0,1.00
UNF 170,"Lila, Hospitality Hostess",,0,0.0,0,0,0,1.00
UNF 56,Plate Spinning,,0,0.0,0,0,0,1.00
UNF 126,"Vorthos, Steward of Myth",,0,0.0,0,0,0,1.00
UNF 214,Gift Shop,,0,0.0,0,0,0,0.50
UNF 49,How Is This a Par Three?!,,0,0.0,0,0,0,0.50
UNF 112,Ignacio of Myra's Marvels,,0,0.0,0,0,0,0.50
UNF 7,Carnival Elephant Meteor Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 22,Cursed Firebreathing Yogurt Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 19,Eternal Acrobat Toast Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 75,Gray Merchant of Alphabet,,0,0.0,0,0,0,0.50
UNF 8,Happy Dead Squirrel Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 142,Icing Manipulator,,0,0.0,0,0,0,0.50
UNF 37,Squishy Sphinx Ninja Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 12,Treasure Token,,0,0.0,0,0,0,0.50
UNF 2,Trendy Circus Pirate Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 196,Wicker Picker,,0,0.0,0,0,0,0.50
UNF 46,Fluros of Myra's Marvels,,0,0.0,0,0,0,0.50
UNF 144,"Jermane, Pride of the Circus",,0,0.0,0,0,0,0.50
UNF 16,Katerina of Myra's Marvels,,0,0.0,0,0,0,0.50
UNF 82,Nocturno of Myra's Marvels,,0,0.0,0,0,0,0.50
UNF 129,Alpha Guard,,0,0.0,0,0,0,0.25
UNF 36,Bag Check,,0,0.0,0,0,0,0.25
UNF 4,Bar Entry,,0,0.0,0,0,0,0.25
UNF 131,Blorbian Buddy,,0,0.0,0,0,0,0.25
UNF 43,Croakid Amphibonaut,,0,0.0,0,0,0,0.25
UNF 17,Goblin Coward Parade Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 89,Scampire,,0,0.0,0,0,0,0.50
UNF 47,Unstable Robot Dragon Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 148,________-o-saurus,,0,0.0,0,0,0,0.25
UNF 133,Chicken Troupe,,0,0.0,0,0,0,0.25
UNF 14,Deep-Fried Plague Myr Sticker Sheet,,0,0.0,0,0,0,0.50
UNF 73,Down for Repairs,,0,0.0,0,0,0,0.25
UNF 10,Get Your Head in the Game,,0,0.0,0,0,0,0.50
